Protein	14F	14F	17F	23M	25M	28M	36M	37M	39M	43M	44M	45F	45M	47M	48M	49F	50F	52F	59M	66M
A0A024R1R8							11563900.0													
A0A024R1R8;Q9Y2S6		7196940.0	5025300.0		3420590.0	3448900.0		3905450.0	24769500.0	11984900.0	3545730.0	7982870.0	10007100.0	3616920.0	8758740.0	5497720.0		6965030.0		
A0A024RBG1	5680500.0					9224990.0	4366290.0		8831070.0	8307310.0		11282800.0		7635460.0	3594840.0	7187100.0	902591.0	6971570.0		
A0A075B6H9		372784.0	1583110.0		2044870.0	815211.0	1091110.0	2598390.0	2593630.0		8380930.0			595476.0			20465.7	4428740.0	1478880.0	
A0A075B6I0	2094920.0	8912260.0	1173300.0	252769.0	1880380.0			6150690.0	5262950.0		13280000.0							5662180.0		
A0A075B6I1											14978.6									
A0A075B6I9									9426600.0		7801620.0									
A0A075B6I9;P04211	1335270.0			1928550.0	8412360.0	1526730.0	2066730.0	4095150.0					3718870.0	2378660.0	2960740.0	1148780.0	2668910.0	4713710.0		
A0A075B6J9					4842210.0		4450910.0		15125100.0											
A0A075B6K0	1070060.0									9401630.0	5790030.0									
A0A075B6K2			4442640.0																	
A0A075B6K4			607765.0	24112.0							75925200.0							33844900.0		
A0A075B6K5	10129700.0	4062110.0	5780790.0	245799.0	10835400.0	9730140.0	7535360.0	241725.0	11991600.0		30190700.0		2848540.0			5131330.0		9980000.0		5711220.0
A0A075B6P5;A0A075B6S2;A0A075B6S6;A0A087WW87;A0A0A0MRZ7;A2NJV5;P01614;P01615;P06310				33189600.0												7571910.0	24243600.0			21738300.0
A0A075B6R2					5382500.0															
A0A075B6R9;A0A0C4DH68	9422600.0	110396.0	1061150.0	599106.0	908268.0	15436100.0	11024800.0	1309370.0	10364000.0	6480360.0	4791610.0	13743000.0	814964.0	1631740.0	7165960.0	7839.25	16427.7	16826600.0		85203.6
A0A075B6S2;A0A0A0MRZ7;A2NJV5	9343000.0					38005200.0	23655900.0			9350490.0		21463500.0	19292300.0							
A0A075B6S2;A2NJV5		42084400.0	27226300.0		59486800.0			36740100.0	113397000.0		23622600.0			29372000.0				77423800.0	13413500.0	
A0A075B6S5		38933.6		392771.0	3776860.0	30182.6			13093800.0		10814200.0			25703.5				1895170.0		
A0A075B6S5;A0A0C4DH67;A0A0C4DH69	34862.6		37524.3				28138.0	583048.0		692616.0		25618.8	25124.0		1327320.0					29910.9
A0A075B6S6											134881000.0									
A0A075B7B6											849866.0									
A0A075B7B8	859592.0	4978110.0	5396580.0	7167240.0	19127200.0	3662600.0	4283130.0	7611150.0	19330000.0	2435690.0	25150700.0	3956910.0	7367810.0	4450610.0	3686140.0	3777040.0	4459850.0	14842000.0	1601150.0	4564520.0
A0A075B7D0			1129790.0	14803900.0	16161900.0		4401900.0	2515170.0	3417830.0		3944340.0			2983040.0	5254350.0	1911320.0		2679230.0		
A0A087WSX0											2742470.0									
A0A087WSY4							1629360.0													
A0A087WSY6					3568610.0															
A0A087WSY6;P01624																				4525380.0
A0A087WUL8					609161.0															
A0A087WW87;P01614					10666.2										20507700.0					
A0A096LP01	2240430.0		32352.5	1248540.0	1473150000.0	460092.0	2884180000.0	39699200.0		557696.0	93068.6		824137.0	691111.0	1192290.0	712411.0	157051000.0	1290580.0	550235.0	1415590.0
A0A0A0MRZ8;P04433	4305070.0	3067910.0	1073680.0	3958800.0	34703200.0	6925800.0	3319210.0	7067300.0	27608300.0	2255190.0	53429400.0	6231640.0	3970180.0	2501350.0	8307520.0	1472750.0	5058470.0	14685400.0	1836820.0	2479290.0
A0A0A0MS14											18627.1							5541.18		
A0A0A0MS15		64336300.0	10379700.0		15146300.0	97216900.0	17355.7	324093.0	3133120.0		43202700.0			16800900.0				7194920.0	37975200.0	8778420.0
A0A0A0MT36					5681330.0															
A0A0A0MT36;A0A0C4DH26		33613.8	1421310.0	1444050.0		423598.0	405872.0	86280.9	2297920.0		588661.0	283165.0	344324.0	958794.0	145362.0	2848.73	459360.0	28015.4		765542.0
A0A0A0MT89									3776580.0	1638080.0	1161070.0							895496.0		
A0A0A0MT96					16586200.0												16487000.0			
A0A0A0MTA3									4307090.0											
A0A0B4J1U7						1625580.0	8237170.0	3135530.0	10679600.0		15538200.0						5571000.0	8066430.0		
A0A0B4J1V0	1322640.0	778076.0	12921900.0	11719000.0	18469500.0	16054000.0		63315000.0	3624500.0		440105.0		52786700.0	567192.0			1137450.0	31066900.0	8427510.0	7355680.0
A0A0B4J1V2									700931.0		1923440.0									
A0A0B4J1V6	511008.0			13534.9						93174300.0		489988.0	179661.0		89109000.0					
A0A0B4J1W7;E9PKD4;F8WFD2;P0DXC3;Q9UND3									15124800.0											
A0A0B4J1X5	746227.0	10692700.0		5091340.0	8276540.0	9095260.0	3870250.0	5239020.0	23760700.0	1973990.0	10699800.0	2496040.0	1211840.0		3376890.0		220834.0	9805410.0		3401330.0
A0A0B4J1X8			18930.8	53860.9	76747.0			765724.0	37128.8		45666.3							22435.0		
